cruise,station,cast,offset_m
AT46,L1,B1,12
AT46,L11,B7,4
AT46,L2,B21,4
AT46,L3,B22,4
AT46,L4,B2,4
AT46,L5,B3,4
AT46,L6,B6,4
AT46,L7,B14,4
AT46,L8,B13,4
AT46,L9,B12,4
AT46,MVCO,B23,4
EN617,L10,B18,0
EN617,L11,B21,0
EN617,L11,B25a,0
EN617,L2,B2,0
EN617,L3,B5,0
EN617,L4,B8,0
EN617,L5,B9,0
EN617,L6,B12,0
EN617,L7,B13,0
EN617,L8,B14,0
EN617,L9,B17,0
EN617,MVCO,B35,0
EN649,L1,B1,0
EN649,L10,B12,0
EN649,L11,B16,0
EN649,L2,B5,0
EN649,L3,B6,0
EN649,L4,B21,0
EN649,L5,B20,0
EN649,L6,B19,0
EN649,L7,B7,0
EN649,L8,B8,0
EN649,L9,B11,0
EN649,MVCO,B2,0
EN655,L1,B1,3
EN655,L10,B12,0
EN655,L2,B2,6
EN655,L3,B3,6
EN655,L4,B7,6
EN655,L5,B10,6
EN655,L6,B16,0
EN655,L7,B11,0
EN655,L9,B15,0
EN657,L10,B9,0
EN657,L11,B12,0
EN657,L1,B1,0
EN657,L2,B5,0
EN657,L3,B2,0
EN657,L4,B6,0
EN657,L5,B7,0
EN657,L6,B17,0
EN657,L7,B19,0
EN657,L8,B15,0
EN657,L9,B14,0
EN657,MVCO,B20,0
EN687,L1,B1,0
EN687,L2,B2,0
EN687,L10,B7,0
EN687,L11,B10,0
EN687,L3,B22,0
EN687,L4,B5,0
EN687,L5,B6,0
EN687,L6,B18,0
EN687,L7,B21,0
EN687,L8,B16,0
EN687,L9,B13,0
EN687,MVCO,B26,0
EN706,L1,B1,12
EN706,L10,B10,12
EN706,L11,B9,12
EN706,L2,B2,12
EN706,L3,B20,12
EN706,L4,B5,12
EN706,L5,B6,12
EN706,L6,B19,12
EN706,L8,B15,12
EN706,L9,B13,12
EN706,L7,B14,12
EN706,MVCO,B24,12
HRS2303,L1,B2,0
HRS2303,L10,B7,0
HRS2303,L11,B8,0
HRS2303,L2,B12,0
HRS2303,L3,B11,0
HRS2303,L4,B10,0
HRS2303,L5,B3,0
HRS2303,L6,B9,0
HRS2303,L7,B4,0
HRS2303,L8,B5,0
HRS2303,L9,B6,0
HRS2303,MVCO,B1,0
EN608,L1,B1,0
EN608,L2,B4,0
EN608,L4,B8,0
EN608,L5,B9,0
EN608,L3,B5,0
EN627,L04,B12,0
EN627,L06,B16,0
EN627,L07,B17,0
EN627,L08,B19,0
EN627,L09,B22,0
EN627,L10,B24,0
EN627,L11,B25,0
EN627,u11c,B29,0
EN627,L05,B40,0
EN627,L01,B44,0
EN627,MVCO,B45,0
EN627,L02,B7,0
EN627,L03,B8,0
EN644,L3,B5,5.6
EN644,L6,B7,5.6
EN644,L7,B8,5.6
EN644,L10,B13,5.6
EN644,L11,B17,5.6
EN644,L9,B18,5.6
EN644,L5,B22,0
EN644,L4,B23,0
EN644,MVCO,B29,0
EN644,L1,B1,4
EN644,L2,B2,4
